ID,FI,BIX,HIX,β:α,Ⅰ-Area,Ⅰ-Ф,Ⅱ-Area,Ⅱ-Ф,Ⅲ-Area,Ⅲ-Ф,Ⅳ-Area,Ⅳ-Ф,Ⅴ-Area,Ⅴ-Ф,Ⅰ-P,Ⅱ-P,Ⅲ-P,Ⅳ-P,Ⅴ-P
L-N6,1.7088987559835147,0.7166943592365371,7.588151380702756,0.7004272992708328,29296.912000000004,791016.6240000001,76125.86,2055398.22,363290.349,2884952.771470588,17378.079999999998,117302.04,1539453.225,2361661.197443182,0.09634406191064462,0.25034292245002016,0.35138081803935406,0.014287127047793766,0.28764507055218735
L-N7,1.8641898478881762,1.0586938017488199,1.6513172306963515,0.9621477170836337,81799.952,2208598.704,168185.46,4541007.42,291093.599,2311625.639117647,75363.92,508706.45999999996,1381259.435,2118977.5423295456,0.1889481238737889,0.38848833468569965,0.19776219501477513,0.043520414571191664,0.1812809318545447
L-N8,1.9443944109764615,1.1065664601920782,1.4252688430124307,1.0537145640130685,86335.742,2331065.034,173437.56,4682814.12,274148.429,2177061.0538235293,92463.68999999999,624129.9075,1331552.475,2042722.5468750002,0.1965850728214539,0.39491448816847236,0.18359749709267428,0.052634577554190536,0.1722683643632088
L-N9,1.949404639930896,0.8867522520092777,2.322424230518641,0.874185743532477,47883.752,1292861.304,71250.96,1923775.9200000002,168328.359,1336725.2038235294,25689.870000000003,173406.62250000003,605861.125,929446.0440340909,0.22857357480794868,0.3401171786976543,0.23632856628047702,0.03065771361364643,0.16432296660027365
L-P1,1.8227954016944306,0.7911216746877675,2.3918609140262634,0.7561751695040816,56206.652,1517579.604,99470.96,2685715.9200000004,270886.239,2151155.427352941,38297.030000000006,258504.95250000004,1092226.395,1675574.5832386364,0.18309392797232923,0.32402799557565615,0.259533994681339,0.031188273108555428,0.2021558086621204
L-P10,1.8010800070268362,0.7979553573690744,2.1214692993433477,0.7906387091510447,65526.932,1769227.164,103666.36,2798991.72,260650.08899999998,2069868.3538235293,70866.8,478350.9,1219878.1349999998,1871403.9571022724,0.19684671195979725,0.311419770222733,0.23029647516750423,0.05322199644228941,0.2082150462076761
L-P11,1.8969831304085203,0.87574889294087,1.8067275423720073,0.8358246061095745,49719.882,1342436.814,88912.35999999999,2400633.7199999997,199109.849,1581166.4479411764,36599.68,247047.84,749577.5050000001,1149920.0360795457,0.19973157229362062,0.35717312159221176,0.2352504471061164,0.03675648119922821,0.171088377808823
L-P12,1.8196629740586467,0.8058230081706241,2.0324863819921144,0.7985782440934405,52750.33200000001,1424258.9640000002,92511.36000000002,2497806.72,234141.44899999996,1859358.5655882352,28030.11,189203.2425,838537.6950000001,1286393.0548295456,0.19625946416879236,0.344191766283599,0.2562151441582932,0.02607175235026155,0.17726187303905397
L-P2,1.734528059498162,0.7944235496816758,2.887922816425721,0.7499033093011493,47933.592000000004,1294206.9840000002,86963.25999999998,2348008.0199999996,224876.639,1785785.0744117647,25126.770000000004,169605.69750000004,823088.6849999999,1262692.8690340908,0.18865169739417587,0.3422603215283977,0.2603071916887168,0.024722786321401995,0.18405800306730766
L-P3,1.848308039341385,0.5544783115724968,2.506081998582382,0.537659918848806,55737.432,1504910.664,75629.06,2041984.6199999999,246924.44899999996,1960870.6244117646,24436.43,164945.9025,605695.9149999999,929192.5968749999,0.22795099278096173,0.30930236093566205,0.2970159068190948,0.024984594188527002,0.14074614527575452
L-P4,1.7285616432444646,0.7279925116829008,5.3329924058910665,0.7079480668806594,37691.102,1017659.754,97174.86,2623721.22,478562.18899999995,3800346.795,31900.629999999997,215329.25249999997,2125190.225,3260235.0042613638,0.09321540099858501,0.24032710802356905,0.3481034294981192,0.019723687155376157,0.2986303743243506
L-P5,1.9902293178379504,0.8312253401674102,1.1603221552878964,0.8069663585025552,59283.272,1600648.344,108603.65999999999,2932298.82,214314.999,1701913.2273529414,50357.12,339910.56,852152.0249999999,1307278.674715909,0.20307514161114448,0.3720223747769621,0.21592267342799842,0.0431246409405734,0.1658551692433216
L-P6,1.8477966079909514,0.7128746097055647,2.3471255820958037,0.6913830065729427,41988.942,1133701.4340000001,81874.85999999999,2210621.2199999997,217531.21899999998,1727453.7979411765,28921.13,195217.6275,918705.4450000001,1409377.6713068183,0.16980801494059772,0.3311111637473348,0.2587414036295446,0.029240077513378215,0.21109934016914456
L-P7,1.9464202644355848,0.7559081034823251,2.516235458523158,0.735602485533087,51155.992,1381211.784,83981.06,2267488.62,240960.789,1913512.1479411765,25481.249999999996,171998.43749999997,651288.435,999135.6673295456,0.20513005707364274,0.3367550692967701,0.28418441014276946,0.025544271855815828,0.14838619163100178
L-P8,1.8150791948309988,0.9252927143601415,2.4742409856378362,0.8930837584443254,36671.432,990128.664,79208.26,2138623.02,194980.919,1548377.8861764707,45116.2,304534.35,1163293.915,1784598.619602273,0.1463331725866459,0.31607153985336384,0.22883798508756983,0.04500776436173554,0.26374953811068486
L-P9,1.7153991564902482,0.667010554289233,8.501005037595851,0.6553974264735152,26324.469999999998,710760.69,92349.96,2493448.9200000004,543840.919,4318736.709705883,24505.92,165414.96,2692452.225,4130466.4815340913,0.060138002207879744,0.21097260831377068,0.3654115955449698,0.013995885492339679,0.3494819084410401
L-H1,1.7998198045270848,0.7712582139958636,6.108658005671274,0.7352943011712145,37032.674000000006,999882.1980000002,102937.36,2779308.72,485706.21900000004,3857078.7979411767,31864.52,215085.51,2302989.125,3532994.6803977275,0.08782953846519222,0.24413416162239157,0.33880536259637645,0.01889308671725195,0.3103378505987879
L-H10,1.7607131187826572,0.9209065679925994,1.3170850608887883,0.8884530925232217,78734.102,2125820.754,139408.65999999997,3764033.8199999994,201193.89899999998,1597716.2567647058,61652.9,416157.075,773338.9950000001,1186372.3218750001,0.23386109072110653,0.4140805630013776,0.17576442687690383,0.04578135164391444,0.1305125677566977
L-H11,1.6908020419028529,0.7359270667521137,2.2457282864707078,0.6916657761543469,46541.902,1256631.354,83313.46,2249463.4200000004,205816.219,1634422.9155882355,36069.96,243472.22999999998,756717.425,1160873.3224431819,0.19200269089350175,0.34369907159462726,0.24972606075126141,0.037200506870244426,0.17737166989036518
L-H12,1.7843923180886927,0.7723983510780272,2.5590033800782566,0.7492825650726066,66326.532,1790816.364,118649.56,3203538.12,270291.38899999997,2146431.6185294115,54730.909999999996,369433.64249999996,1098196.945,1684733.9497159093,0.19476078112534764,0.3484017675728742,0.23343582684446165,0.040177868727182584,0.18322375573013394
L-H2,1.7522815684555912,0.8705182709556927,1.8619981197516895,0.8096266584387535,48767.262,1316716.074,78259.85999999999,2113016.2199999997,169072.109,1342631.4538235294,35240.37999999999,237872.56499999994,675477.405,1036243.7463068183,0.2177657184218649,0.3494621993847956,0.22205174592383217,0.03934066807031076,0.17137966819919676
L-H3,1.8629480598216772,0.9482854955197317,1.8094899279424153,0.8894668905344683,57977.352,1565388.504,109727.26,2962636.02,197036.969,1564705.3420588237,43806.65,295694.8875,841170.845,1290432.5463068183,0.20385695981450125,0.38581730383918417,0.20376799319948313,0.038507667997056516,0.16805007514977482
L-H4,1.6333953940292556,0.7586248726284632,1.3947138285987732,0.7190590074966655,57747.03200000001,1559169.864,84394.96,2278663.9200000004,205570.619,1632472.5626470589,28257.409999999996,190737.5175,669268.095,1026718.100284091,0.23313776302034103,0.3407214449496065,0.2440984848637498,0.028520380736401372,0.15352192642990126
L-H5,1.753576029819869,0.7409145711333103,1.343344963758443,0.7181028096862708,65092.081999999995,1757486.214,100749.85999999999,2720246.2199999997,202665.189,1609400.0302941178,43821.64,295796.07,741976.595,1138259.5491477272,0.2336713554430538,0.3616777282818809,0.2139821544733428,0.039328370294475855,0.1513403915072467
L-H6,1.630401777225078,0.7377429219690242,2.221736111327352,0.7299034977490941,56114.092,1515080.484,80868.86,2183459.22,216423.219,1718654.9744117649,20546.689999999995,138690.15749999997,605337.625,928642.9474431819,0.233645461106519,0.3367183074771758,0.26503934161919374,0.021387857702761644,0.14320903209434985
L-H7,1.7826969198950429,0.7591179901018189,8.348448311315138,0.7391932715501476,31281.622,844603.794,112624.76000000001,3040868.5200000005,540989.219,4296090.856764707,29839.28,201415.13999999998,2862983.0250000004,4392076.231534092,0.06611351765297578,0.2380317445950265,0.3362874767023617,0.015766284154255867,0.34380097689538025
L-H8,1.8351939757694762,0.8221980759547346,2.0966496562111723,0.7717700909237907,47864.852000000006,1292351.0040000002,74690.26000000001,2016637.0200000003,174505.249,1385776.9773529414,28882.909999999996,194959.6425,624435.605,957940.9849431819,0.221002890048291,0.3448618898572645,0.23697951718183918,0.033339738431681996,0.1638159644809233
L-H9,1.7621232185316777,0.7034826652008324,1.3449437909696074,0.6536844313507302,76823.022,2074221.594,112277.16,3031483.3200000003,244342.569,1940367.4597058822,48193.32,325304.91,863274.235,1324341.1559659091,0.23853366554935151,0.34861792513539797,0.22314055740966685,0.037409779566445825,0.1522980723391378
W-N1,1.9182273568301818,0.9165899520125355,4.910218134298351,0.8566394522955261,17567.173000000003,474313.6710000001,62761.30999999999,1694555.3699999996,196186.67799999999,1557953.0311764705,18839.68,127167.84,831438.0190000001,1275501.5064204547,0.09246797241542896,0.330355435210673,0.3037246588478783,0.024791510429075705,0.24866042309694397
W-N10,1.7412753925143238,0.8797787042976266,7.896990007311722,0.8797787042976266,4260.365,115029.855,35233.41,951302.0700000001,126580.098,1005194.895882353,7082.29,47805.4575,503739.469,772782.1399431819,0.039773618315764814,0.32892961079692734,0.347564013896911,0.016529587210342186,0.26720316978005465
W-N11,1.866341030195382,0.898225659690628,2.3232718446601943,0.898225659690628,12567.914,339333.678,20030.109999999993,540812.9699999999,48641.888,386273.81647058827,9706.8,65520.899999999994,188339.739,288930.28142045456,0.20935259053992392,0.3336556422409983,0.23831240274318066,0.0404232501482134,0.1782561143276837
W-N12,1.8171239764401665,1.044028161931104,5.413433039367215,0.9577643476656211,18175.513,490738.85099999997,73651.81,1988598.8699999999,232857.888,1849165.5811764707,20780.52,140268.51,1016141.949,1558854.1263068183,0.08141494777684943,0.32991411383108893,0.30678174127735774,0.023270938082679913,0.25861825903202407
W-N2,1.8105054780026624,0.9371331382010918,5.777830844848372,0.9004758429870171,13943.452999999998,376473.2309999999,66886.11000000002,1805924.9700000004,229601.718,1823307.7605882352,18862.65,127322.88750000001,1021062.8589999999,1566403.2496022726,0.06605451639409789,0.31686051149112326,0.31991042774369666,0.02233957441641484,0.2748349699546674
W-N3,1.9047412546978895,1.0320627802690583,4.727135678391959,0.950883371370111,9953.523000000001,268745.12100000004,57187.30999999999,1544057.3699999996,169114.528,1342968.3105882353,16188.6,109273.05,787915.619,1208734.1882386364,0.06007117890238473,0.34513499692080224,0.30018662048781625,0.024425228303062776,0.27018197538593414
W-N4,1.898184969919445,1.0275795890720252,4.5406580900544276,0.9495806209313972,16045.153,433219.131,60763.409999999996,1640612.0699999998,173410.94800000003,1377086.9400000004,18327.64,123711.56999999999,755204.5289999999,1158552.4024431817,0.09152809264819353,0.3466192575477572,0.2909431555757803,0.026137082207049342,0.24477241202121966
W-N5,1.7734631095869682,0.7746483410286695,6.465874984497083,0.769476086863774,8984.182999999999,242572.94099999996,36062.21,973679.6699999999,200192.718,1589765.7017647058,12330.470000000001,83230.67250000002,764032.0389999999,1172094.6052840909,0.05972726404249433,0.23974323971649728,0.39143836671791804,0.02049338369048291,0.28859774583260744
W-N6,1.7480471996011304,0.9442688499619191,8.296795745841287,0.8722562262558041,15327.123000000001,413832.32100000005,33245.01,897615.27,118971.33799999999,944772.3899999999,6981.17,47122.8975,462147.439,708976.1848295456,0.1373799761246364,0.297981472456592,0.31363622847963984,0.01564339517471785,0.23535892776441394
W-N7,1.9233318922034877,0.8753272069061542,2.580332552007032,0.8753272069061542,7026.643,189719.361,20655.510000000002,557698.77,58162.008,461874.76941176475,10483.68,70764.84,284206.309,435998.3149431819,0.11055545674512288,0.3249886670424914,0.2691489989330396,0.04123690469153299,0.254069972587813
W-N8,1.9666526845637582,0.9249887640449438,4.766104032575857,0.8705270281702056,29612.553000000004,799538.9310000001,44284.31,1195676.3699999999,145999.338,1159406.5076470587,14199.02,95843.38500000001,557884.259,855845.1700568182,0.19470981493927286,0.2911802236306133,0.2823475102844585,0.02334051167860328,0.20842193946705212
W-N9,1.7974894790306197,1.0130056109203587,5.316420085677693,0.9483128978644675,18175.103,490727.78099999996,73654.31000000001,1988666.3700000003,231510.978,1838469.5311764707,20129.730000000003,135875.67750000002,998100.829,1531177.408125,0.08199408614002603,0.33227970365417914,0.30718380931667044,0.022703018733861734,0.2558393821552627
W-P1,1.83306070519811,0.9110329085029483,2.7537634408602147,0.8709876879989816,12405.403,334945.881,34410.41,929081.0700000001,102485.80799999999,813857.8870588235,17445.289999999997,117755.70749999997,423735.989,650049.5285795454,0.1177028672391235,0.32648708952654,0.2859966707039406,0.041380369763441144,0.22843300276695463
W-P10,1.7899615645489488,0.9746686065308761,2.563205897051475,0.8821730606034002,35079.74300000001,947153.0610000002,63780.009999999995,1722060.2699999998,129349.678,1027188.6194117648,29682.24,200355.12000000002,549146.919,842441.2961931819,0.19985512057781177,0.3633653071233742,0.2167431155973366,0.04227616244380373,0.1777602942576737
W-P11,1.8684454449152539,1.2125466520307355,1.8719883330581693,1.11854469601847,42943.92300000001,1159485.9210000003,176622.91,4768818.57,248030.448,1969653.557647059,41993.22,283454.235,847144.6789999999,1299596.9507386363,0.12229562194653079,0.502986385953983,0.2077472459897545,0.029897052939466512,0.13707369317026524
W-P12,1.8173252038957954,0.9287370454944668,3.119770488367218,0.8927329213521089,40373.113000000005,1090074.0510000002,43422.41,1172405.07,120991.538,960815.1547058824,17755.29,119848.2075,478871.02900000004,734631.6922159091,0.26732084811617757,0.28751103409956,0.2356224531748374,0.02939059456072093,0.18015507004870399
W-P2,1.8571428571428565,0.9706499261447563,3.2713071348940908,0.9140007789028596,20010.963,540296.001,47980.810000000005,1295481.87,130625.838,1037322.8311764706,22557.170000000002,152260.89750000002,573778.4890000001,880228.3638068183,0.13833915133224195,0.33169940575241424,0.2655995229594739,0.03898537709375991,0.22537654286211004
W-P3,1.7984737423436092,1.012002652519894,4.618137509073939,0.978771164699846,14550.472999999998,392862.77099999995,27603.61,745297.47,90522.258,718853.2252941177,9323.010000000002,62930.31750000001,373370.159,572783.7666477272,0.15760357401688907,0.2989887402126611,0.28838018224923867,0.025245565841660225,0.2297819376795507
W-P4,1.9222058099458397,1.024374853937836,2.328956650886475,0.9504737949129387,30694.823000000004,828760.2210000001,50378.51,1360219.77,97927.918,777662.8782352941,19807.1,133697.925,370740.569,568749.736534091,0.22587619848840695,0.37072395968239313,0.21194976567455343,0.036438982325127954,0.15501109382951847
W-P5,1.8406900981921628,0.9494740067408844,2.6574247940218427,0.9171928647539367,43475.433000000005,1173836.691,70245.70999999999,1896634.1699999997,199569.57799999998,1584817.2370588235,31680.440000000002,213842.97000000003,817219.539,1253689.0655113638,0.19171503741618842,0.30976480259499006,0.2588377908358912,0.03492556784863599,0.20475680130429436
W-P6,1.7532921257726415,0.8526835203460862,3.5825825985339432,0.7971109734983003,30096.283,812599.641,47235.61,1275361.47,145832.458,1158081.2841176472,15879.06,107183.655,565644.6190000001,867750.2677840911,0.1925146174248014,0.302148454278461,0.27436336925323795,0.025393095560716474,0.20558046348278322
W-P7,1.9162870735904445,0.9586663947797717,3.0729687105727987,0.920091592296853,13033.703,351909.98099999997,44207.61,1193605.47,104360.28800000002,828743.4635294119,13498.210000000001,91112.91750000001,411472.10899999994,631235.6217613636,0.11364371695521244,0.38545585380504827,0.2676294867516671,0.029423463858314448,0.20384747862975772
W-P8,1.796210251197909,1.2787143956889915,1.591860089442092,1.1774094464003024,53478.55300000001,1443920.931,179175.71,4837744.17,235273.918,1868351.701764706,47766.310000000005,322422.5925,758915.519,1164245.398465909,0.14983585765297405,0.5020133244523381,0.19387909242193008,0.03345783320730383,0.12081389226545397
