Sample:	'SLABO1-5-5-320
File name:	3P4.FD3
Run Date:	16:07:47, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
380.0	259.0	357.5	328.4	447.1	441.1	715.1	689.5	738.7	698.5	705.0	723.0	701.9	749.8	726.8	729.3	736.7	683.9	626.4	609.6	590.3	548.8	526.5	496.7	489.9	463.7	448.9	418.7	554.2	504.1	280.2	209.5	164.7	118.5	103.1	383.3	 4868	9999.9	9999.9	503.4	21.20	14.25	9.725	7.690	6.701	5.757	4.625	3.223	2.906	2.692	4.027	3.509
385.0	242.9	247.1	257.1	441.9	574.7	623.2	651.7	686.0	760.2	728.1	703.4	726.8	744.4	762.2	780.7	719.2	706.2	635.4	575.7	581.4	539.2	538.7	532.1	510.5	489.3	460.8	432.0	439.9	556.6	457.2	272.0	203.3	150.8	115.2	110.3	367.5	 4151	9999.9	9999.9	498.5	21.44	15.58	11.05	6.704	7.593	5.005	4.307	3.836	3.832	4.448	2.846
390.0	188.7	190.3	344.0	436.5	472.7	537.3	675.9	616.0	698.4	689.0	752.7	714.1	735.1	706.6	766.2	751.1	678.9	642.4	598.4	571.8	586.5	555.9	538.3	526.1	494.2	481.6	468.0	431.8	449.0	565.8	383.9	252.9	185.6	152.9	117.8	102.1	324.0	 3703	9999.9	9999.9	480.7	20.90	12.92	10.53	9.961	6.390	5.174	5.869	3.259	3.076	3.597
395.0	210.7	359.9	299.7	496.3	522.3	481.2	649.6	709.4	695.2	753.3	757.6	760.3	739.1	759.2	715.9	715.3	696.5	645.7	594.3	615.5	565.1	546.7	540.7	542.2	524.5	505.8	510.4	473.6	442.5	473.9	548.9	348.4	224.6	186.5	143.5	106.5	92.80	289.5	 3535	9999.9	9999.9	503.6	16.39	12.72	11.06	6.861	4.951	4.414	4.227	4.024	2.801
400.0	124.4	329.0	320.2	442.6	418.5	565.2	648.8	606.9	710.3	679.2	794.6	727.2	722.2	714.5	700.5	734.7	714.8	664.9	613.0	596.2	553.2	560.6	552.4	539.6	553.5	531.2	514.3	511.9	462.5	438.0	504.0	485.0	301.5	233.8	179.1	140.7	100.9	90.74	276.5	 3326	9999.9	9999.9	416.7	16.75	17.36	8.808	7.363	5.069	4.353	3.511	3.621
405.0	180.5	291.2	320.9	327.8	526.3	628.7	606.1	667.6	662.0	701.4	772.7	692.0	711.5	707.8	722.3	696.7	663.0	653.0	612.6	589.3	553.1	571.9	559.3	556.4	526.1	538.4	521.6	518.7	487.0	458.8	484.6	505.6	423.7	298.0	228.5	176.4	132.9	90.08	81.15	260.2	 3141	9999.9	9999.9	396.7	23.05	12.59	7.232	6.335	5.806	4.380	3.301
410.0	168.6	258.2	346.8	422.4	515.1	527.3	614.3	640.5	659.2	710.8	728.5	719.7	682.0	719.8	725.4	699.8	666.5	656.4	597.9	601.9	543.5	578.6	564.7	541.8	529.5	550.5	542.8	531.9	513.1	464.5	539.3	433.9	502.4	403.0	262.9	209.6	166.6	114.4	86.77	71.17	245.1	 3183	9999.9	9999.9	535.5	19.01	11.64	8.174	7.239	5.047	4.909
415.0	280.1	289.5	365.7	427.4	530.8	642.6	621.2	716.2	667.6	674.9	732.1	727.1	734.4	678.0	673.2	702.6	687.0	653.3	605.1	577.4	521.2	543.9	540.4	553.4	549.1	528.3	525.5	544.5	504.0	478.5	595.3	423.5	445.0	487.5	335.9	227.0	184.3	135.4	98.40	77.28	71.36	239.9	 2863	9999.9	9999.9	361.9	17.26	12.01	7.027	6.368	6.002
420.0	232.3	252.3	389.0	499.9	444.9	608.9	648.4	611.8	652.8	645.1	750.1	717.1	719.3	718.7	651.4	661.9	655.7	622.0	561.8	556.6	517.8	518.5	530.5	521.9	511.4	525.9	529.5	519.2	533.4	493.8	604.4	432.9	401.3	443.1	432.4	288.1	207.7	147.4	116.4	86.64	70.36	61.54	215.3	 2809	9999.9	9999.9	304.4	13.73	9.627	7.472	6.675
425.0	213.4	296.8	352.6	426.1	443.5	550.2	651.1	672.3	615.1	643.2	694.0	706.3	711.6	736.0	624.6	633.5	662.7	599.1	559.0	556.1	510.5	503.0	529.6	523.3	514.2	512.4	529.4	513.0	501.1	497.1	579.8	427.7	410.3	379.2	434.4	386.2	241.9	170.2	135.9	102.1	81.42	62.21	58.23	208.8	 2850	9999.9	 8759	272.0	15.83	9.731	6.018
