Sample:	'SLABO1-5-5-320
File name:	3H7.FD3
Run Date:	17:37:00, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
350.0	367.9	488.0	348.6	460.8	474.8	610.8	680.2	539.6	438.3	354.2	331.9	322.4	348.4	371.2	445.7	508.0	529.1	505.7	451.0	346.1	238.3	240.4	379.5	470.0	192.2	127.7	110.9	134.4	727.7	9999.9	9999.9	9999.9	 1609	89.22	67.50	45.40	34.51	25.02	15.40	12.63	12.24	10.18	8.419	7.222	6.570	6.807	6.248	5.471	5.486	6.570	5.190
355.0	345.8	421.1	385.4	468.7	472.9	613.0	650.6	547.5	417.1	365.6	374.9	354.7	355.9	396.0	482.0	492.7	533.2	518.2	472.5	381.1	261.4	249.2	257.9	438.3	437.9	192.6	138.5	119.3	141.9	723.0	9999.9	9999.9	9999.9	 1706	95.25	63.27	46.45	33.85	22.67	14.89	15.20	10.36	9.967	8.549	5.782	6.941	6.685	6.081	5.922	5.179	5.917
360.0	380.1	420.0	427.7	449.2	470.7	558.4	575.1	524.4	449.6	329.6	355.8	373.5	332.4	410.0	459.2	480.8	502.1	491.3	447.7	382.0	315.2	274.0	250.1	272.2	479.7	384.3	173.8	142.9	115.2	145.3	731.6	9999.9	9999.9	9999.9	 1609	88.08	66.45	41.38	29.47	20.56	15.06	13.93	10.44	7.567	7.908	7.475	6.620	6.077	5.744	6.057	5.845
365.0	365.5	286.3	385.6	340.2	426.8	577.8	542.7	532.7	420.5	378.5	383.6	365.4	368.1	425.0	448.0	501.2	494.4	458.7	456.6	394.4	307.1	310.0	277.3	262.8	310.5	487.7	331.2	172.0	140.6	128.6	149.7	721.2	9999.9	9999.9	9999.9	 1701	87.24	64.77	41.04	31.47	24.55	12.49	11.94	9.558	7.020	5.435	6.238	4.950	5.613	5.161	5.773
370.0	298.7	347.9	353.9	469.5	440.8	447.0	527.1	514.7	437.3	478.0	395.2	369.4	403.1	433.7	462.7	504.0	484.6	469.0	425.0	409.4	344.1	327.0	313.7	284.7	291.3	368.7	495.2	282.8	172.3	137.3	118.4	141.8	721.1	9999.9	9999.9	9999.9	 1698	84.61	52.89	38.61	28.16	19.99	16.02	11.50	9.430	7.386	7.225	5.724	6.924	5.229	4.862
375.0	326.0	455.8	364.4	466.1	465.8	534.7	513.8	487.6	458.8	394.0	371.8	387.7	398.0	410.0	447.1	462.8	511.5	437.3	446.6	388.2	372.2	362.1	357.5	321.1	319.6	295.0	424.5	476.1	236.6	174.3	141.9	110.7	136.2	725.1	9999.9	9999.9	9999.9	 1781	81.25	57.86	39.50	27.61	22.82	14.58	11.78	8.791	7.242	7.363	5.846	5.305	5.056
380.0	263.7	352.3	380.1	363.0	520.9	552.6	533.7	448.3	403.4	430.0	414.0	379.0	376.2	418.0	439.4	469.2	436.2	465.0	455.3	411.2	370.5	387.0	370.0	341.7	345.4	344.0	329.2	454.7	419.2	224.4	158.1	125.8	109.1	134.3	725.6	9999.9	9999.9	9999.9	 1623	77.30	55.66	35.41	26.37	18.89	13.36	12.40	8.636	7.989	7.360	5.122	5.608
385.0	279.4	312.5	345.1	366.2	427.8	500.9	547.2	491.2	442.8	458.9	425.4	395.8	398.5	400.5	415.9	468.1	460.3	460.0	424.4	427.9	403.9	406.9	404.9	395.8	369.3	374.4	347.4	351.7	478.8	383.3	205.3	159.0	124.5	114.5	128.4	712.2	9999.9	9999.9	9999.9	 1692	73.59	51.21	36.10	26.22	17.47	12.95	11.24	10.16	7.133	5.837	6.232
390.0	227.7	392.3	370.4	331.6	411.3	464.8	499.2	534.8	433.2	434.2	411.5	422.1	393.9	406.2	423.6	462.9	457.9	468.1	430.5	422.4	411.4	410.4	414.3	399.3	402.8	378.3	367.7	349.5	362.6	464.6	329.9	192.0	139.4	122.0	99.11	127.2	708.0	9999.9	9999.9	9999.9	 1662	70.79	47.17	31.68	23.56	15.60	12.61	10.51	8.729	7.104	6.131
395.0	259.1	290.5	421.0	358.3	313.8	510.4	506.6	525.4	445.6	483.5	451.9	424.7	423.5	413.2	439.3	462.4	463.7	476.3	447.0	422.3	424.6	424.2	418.7	418.8	421.5	411.6	404.3	361.6	347.1	402.3	454.1	289.2	189.9	155.1	121.3	101.2	125.2	696.8	9999.9	9999.9	9999.9	 1660	63.71	44.10	31.61	25.74	16.03	11.79	10.26	10.41	6.526
