Sample:	'SLABO1-5-5-320
File name:	
Run Date:	16:13:40, 08/15/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
355.0	469.3	299.6	378.0	430.6	498.5	600.9	521.5	420.1	345.4	365.7	340.5	324.0	371.5	420.1	481.7	500.4	503.0	482.3	381.4	304.1	250.3	199.7	201.5	384.3	406.8	147.7	107.0	77.51	68.54	141.5	 1538	 9009	 7134	513.3	7.729	4.929	3.460	3.560	1.675	1.306	1.282	1.630	1.079	1.714	2.008	1.262	1.871	1.128	1.700	1.778	2.193
360.0	174.8	228.3	355.8	365.6	419.6	515.8	415.8	397.7	330.4	365.4	324.7	352.4	348.1	396.0	429.3	459.3	482.3	435.7	384.0	308.8	252.1	239.4	201.6	233.4	433.4	358.7	140.7	111.8	84.02	70.46	141.0	 1580	 9149	 6550	459.1	7.656	5.737	4.674	1.948	2.097	3.484	1.066	1.789	1.175	1.655	1.868	1.438	2.315	2.084	1.444	2.692
365.0	142.2	317.0	216.5	441.7	407.9	434.3	434.6	421.3	354.3	344.1	320.5	351.9	343.1	391.4	431.1	449.4	454.4	454.1	397.7	312.1	267.0	270.7	228.6	232.5	281.9	470.8	308.8	145.9	111.0	85.21	74.27	145.7	 1498	 8490	 6574	444.5	6.570	5.998	3.950	3.406	1.660	2.245	1.131	2.102	1.861	2.123	0.846	2.516	1.681	2.096	2.206
370.0	249.0	287.2	321.4	364.9	353.7	469.0	436.2	369.6	372.3	373.6	335.1	367.3	379.9	363.9	428.8	437.6	425.2	446.7	374.1	309.8	297.4	271.6	257.1	258.4	253.7	331.4	493.0	270.4	154.9	115.4	87.12	65.32	138.1	 1458	 8305	 5965	428.7	5.891	3.898	3.953	2.530	1.880	2.406	2.565	1.961	1.870	1.656	1.450	1.437	1.931	1.990
375.0	175.4	210.3	266.4	372.1	433.0	393.2	429.7	414.7	388.1	376.5	359.5	339.8	359.7	363.0	388.9	416.4	400.8	412.2	372.9	315.3	309.6	296.1	283.6	285.7	260.5	275.7	366.0	452.9	224.4	137.9	107.2	81.72	64.28	135.1	 1384	 7758	 5653	398.6	7.528	4.332	3.146	3.523	2.129	2.562	1.385	1.897	1.596	1.782	1.707	2.181	1.951
380.0	174.8	325.1	342.2	468.7	482.3	404.5	444.3	359.8	427.7	420.3	351.9	352.8	325.8	362.6	366.5	434.3	384.6	387.2	374.9	360.4	332.4	321.3	321.0	320.2	302.6	289.1	286.6	430.8	411.1	194.1	137.3	102.5	78.75	62.10	127.9	 1350	 7208	 5474	347.4	5.949	4.250	2.750	2.165	2.106	1.908	1.730	1.188	2.152	1.735	1.760	2.177
385.0	183.1	424.0	267.0	325.5	415.1	472.2	460.7	357.1	407.9	399.0	375.2	371.2	325.5	392.8	345.1	407.7	396.3	412.7	386.9	349.2	345.8	326.8	327.6	341.4	323.5	309.1	301.6	312.7	443.8	334.4	165.5	131.5	100.4	76.53	62.23	121.7	 1191	 6958	 4719	331.0	7.880	4.070	3.297	2.339	2.404	1.893	1.481	2.264	2.144	1.718	1.393
390.0	255.4	241.1	282.6	350.8	403.6	468.7	425.4	400.5	382.5	434.7	359.0	367.7	366.2	378.9	405.5	403.8	401.8	398.8	399.0	356.2	350.9	335.9	340.2	356.8	349.8	336.7	311.1	307.7	341.4	433.8	295.1	165.6	122.3	94.97	72.58	57.35	108.7	 1168	 6008	 4282	299.5	8.224	4.425	2.128	2.841	2.677	1.481	2.461	0.800	1.803	1.589
395.0	131.2	250.2	369.7	407.9	346.9	414.0	392.7	484.8	383.3	429.3	358.7	377.0	386.2	365.1	386.1	384.1	396.6	373.4	376.8	350.4	366.8	374.5	371.6	391.5	359.8	362.4	334.4	334.2	300.7	340.4	421.3	239.6	158.9	126.2	88.38	66.31	55.49	108.9	 1022	 5622	 4058	288.8	5.923	3.400	3.644	3.215	1.772	2.085	1.821	2.698	2.462
400.0	264.8	276.0	452.4	412.0	466.7	432.8	437.4	460.2	425.1	397.9	372.5	362.6	365.2	373.5	354.7	419.9	400.7	400.1	392.6	368.4	397.9	384.8	374.7	391.2	372.0	382.3	362.8	337.1	313.4	291.7	371.6	364.9	216.4	152.4	117.7	89.91	63.98	48.48	94.23	974.6	 5135	 3759	231.8	4.972	4.437	3.167	2.356	2.338	2.673	2.495	1.409
