Sample:	'SLABO1-5-5-320
File name:	2N7.FD3
Run Date:	15:37:11, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/305.0	 1020
2	225.0/545.0	192.6
3	230.0/345.0	 2860
4	240.0/380.0	 2049
5	240.0/395.0	 1961
6	245.0/385.0	 2085
7	245.0/405.0	 1999
8	250.0/390.0	 2038
9	255.0/425.0	 1990
10	270.0/440.0	 2041
11	275.0/400.0	 2188
12	275.0/410.0	 2185
13	275.0/420.0	 2128
14	280.0/310.0	 1885
15	280.0/345.0	 2675
16	280.0/365.0	 2663
17	280.0/430.0	 2041
18	285.0/355.0	 2624
19	310.0/400.0	 1836
20	320.0/410.0	 1901
21	325.0/415.0	 1872
22	330.0/420.0	 1854
23	365.0/295.0	2.855
24	400.0/300.0	3.842
25	410.0/350.0	4.890
26	415.0/310.0	4.060
27	430.0/345.0	6.356
28	435.0/310.0	5.455
29	440.0/355.0	8.012
30	445.0/345.0	8.414
31	445.0/360.0	9.170

Data Points
375.0	267.5	515.6	764.9	 1124	 1412	 1750	 1901	 2000	 1966	 1944	 1899	 1878	 1955	 2089	 2317	 2457	 2531	 2466	 2338	 2073	 1773	 1711	 1619	 1480	 1436	 1351	 1321	 1287	906.2	666.6	484.8	355.3	243.6	420.7	 4195	9999.9	9999.9	519.3	20.09	15.28	10.61	9.052	7.464	5.588	5.235	5.066	4.982	4.277	5.000	6.596	8.457
380.0	264.1	553.8	770.9	 1000	 1410	 1739	 1876	 2042	 2049	 2006	 1939	 1872	 1939	 2161	 2281	 2435	 2410	 2419	 2256	 2002	 1866	 1753	 1661	 1640	 1566	 1434	 1427	 1379	 1166	834.3	598.9	465.4	334.2	236.7	404.8	 4405	9999.9	9999.9	469.2	24.76	15.52	12.43	7.661	6.137	5.802	4.453	4.568	4.089	5.902	6.618	6.887
385.0	295.7	497.5	852.7	952.5	 1249	 1659	 1753	 1877	 1934	 2085	 1943	 1860	 1966	 2124	 2220	 2334	 2359	 2322	 2205	 1995	 1870	 1841	 1714	 1708	 1684	 1575	 1484	 1354	 1356	 1089	761.7	592.5	428.7	310.7	231.4	423.0	 3739	9999.9	9999.9	481.5	21.93	15.14	12.14	7.100	6.540	4.930	5.703	4.827	5.720	6.641	6.234
390.0	276.6	432.7	684.5	853.0	 1284	 1576	 1676	 1940	 1870	 2001	 2038	 1908	 1986	 2037	 2176	 2237	 2268	 2272	 2139	 1989	 1839	 1827	 1792	 1773	 1777	 1701	 1607	 1476	 1312	 1281	 1020	727.1	572.2	423.4	329.1	230.9	374.5	 3376	9999.9	9999.9	441.5	21.50	14.34	9.669	6.716	6.227	4.963	6.194	5.643	7.210	7.628
395.0	253.2	426.6	804.3	886.0	 1294	 1576	 1787	 1694	 1961	 1905	 1935	 1920	 1990	 2097	 2165	 2153	 2298	 2193	 2083	 1928	 1883	 1816	 1818	 1815	 1792	 1795	 1682	 1566	 1389	 1305	 1225	908.4	698.4	554.9	423.2	314.5	233.4	346.9	 3313	9999.9	9999.9	432.4	20.30	11.89	8.491	6.295	6.968	5.657	6.429	6.064	6.238
400.0	344.0	483.2	709.6	922.4	 1290	 1496	 1662	 1847	 1940	 1989	 1916	 1915	 1932	 2068	 2085	 2188	 2167	 2190	 2080	 1908	 1820	 1801	 1836	 1810	 1866	 1832	 1755	 1668	 1511	 1374	 1299	 1163	875.3	710.6	557.3	413.5	309.2	229.8	343.0	 3208	9999.9	9999.9	386.7	22.46	14.37	8.938	6.423	7.689	5.689	5.665	6.410
405.0	315.3	458.8	799.1	898.1	 1221	 1436	 1575	 1667	 1813	 1999	 1985	 1956	 1898	 2015	 2011	 2126	 2121	 2127	 2002	 1871	 1840	 1782	 1809	 1845	 1857	 1863	 1771	 1746	 1641	 1495	 1352	 1288	 1125	859.2	675.1	555.0	408.8	288.0	221.3	340.7	 3023	9999.9	9999.9	311.2	19.42	12.31	8.940	9.405	6.139	6.744	5.652
410.0	294.8	516.4	538.1	949.0	 1189	 1421	 1642	 1700	 1779	 1912	 1979	 1921	 1986	 1990	 2119	 2185	 2058	 2051	 1908	 1859	 1783	 1760	 1788	 1846	 1901	 1870	 1844	 1781	 1686	 1565	 1440	 1312	 1255	 1052	823.0	655.8	501.7	372.1	276.9	205.6	319.1	 2959	9999.9	 8797	298.5	18.18	13.05	12.91	8.637	8.244	7.313
415.0	230.4	404.1	797.6	880.1	987.3	 1239	 1653	 1679	 1754	 1833	 1890	 1924	 1908	 1961	 2086	 2077	 2068	 2032	 1897	 1784	 1762	 1733	 1785	 1820	 1843	 1872	 1846	 1820	 1730	 1624	 1483	 1343	 1298	 1254	979.9	766.5	606.1	451.9	351.5	247.0	184.9	298.9	 2944	9999.9	 8067	288.1	15.38	15.41	9.318	9.209	8.347
420.0	297.7	467.2	650.4	766.8	 1080	 1309	 1497	 1658	 1779	 1886	 1915	 1956	 1957	 1964	 2055	 2128	 2019	 1977	 1898	 1739	 1679	 1681	 1726	 1773	 1821	 1788	 1854	 1773	 1713	 1668	 1562	 1450	 1310	 1289	 1184	895.4	694.3	538.1	416.6	297.6	233.4	162.0	291.1	 2674	9999.9	 7846	251.7	20.73	11.35	9.964	7.736
