Sample:	'SLABO1-5-5-320
File name:	3N7.FD3
Run Date:	15:30:08, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
355.0	155.8	151.9	208.6	211.2	339.0	397.2	428.6	458.8	446.4	438.6	379.3	371.2	356.9	377.3	398.7	455.9	449.1	421.8	428.0	346.3	276.5	243.8	235.3	410.0	425.4	164.0	111.4	95.36	96.70	390.4	 6154	9999.9	9999.9	654.7	26.49	17.75	11.38	7.937	5.384	5.492	4.278	3.420	2.403	3.208	1.715	2.379	1.854	2.432	2.167	2.139	2.960
360.0	134.1	181.7	232.6	265.1	294.2	409.8	462.3	416.4	445.9	424.6	403.5	431.0	402.1	409.6	436.6	463.4	457.2	423.1	422.1	329.4	290.6	266.4	237.5	250.4	469.0	351.0	154.6	124.5	96.84	92.84	447.1	 6490	9999.9	9999.9	604.1	27.61	16.00	14.63	8.424	5.845	4.248	3.449	2.242	2.813	2.860	2.396	1.698	1.872	1.497	2.853	2.578
365.0	140.2	168.9	179.4	128.7	315.0	353.4	431.8	399.9	391.5	438.6	409.4	411.0	375.8	420.0	444.4	464.9	474.2	458.0	424.4	385.7	317.6	287.4	272.8	272.2	319.3	491.2	307.8	161.1	131.5	93.64	93.25	459.4	 5486	9999.9	9999.9	624.6	22.85	20.74	12.61	7.212	6.183	5.390	2.902	2.239	3.261	2.564	2.840	1.672	2.711	2.833	2.413
370.0	113.4	228.3	131.7	217.9	276.1	415.7	451.2	423.8	418.9	481.5	459.1	401.0	468.9	434.8	444.8	476.3	442.1	470.3	417.3	370.2	321.6	312.9	314.6	287.1	296.5	345.0	483.7	281.1	146.1	115.1	99.26	91.25	404.9	 4814	9999.9	9999.9	579.3	24.75	16.80	12.65	7.461	5.433	3.054	3.163	3.773	2.532	2.302	2.110	2.214	2.213	2.680
375.0	195.2	140.5	177.2	199.8	383.5	401.6	441.0	442.0	384.1	480.6	436.9	442.1	471.2	474.3	491.8	470.7	466.5	439.4	412.7	394.6	352.5	361.7	342.3	330.7	299.9	298.1	408.8	454.9	224.6	141.3	115.2	97.17	89.44	354.9	 4931	9999.9	9999.9	613.4	24.20	15.62	8.530	7.013	5.061	3.452	5.051	3.157	2.840	2.359	2.179	1.759	2.555
380.0	165.4	137.1	178.8	221.5	252.8	357.0	431.6	429.2	465.5	447.6	447.8	454.1	442.2	479.1	458.5	482.1	468.1	462.9	419.1	393.8	380.6	374.5	372.7	338.5	328.5	311.5	309.0	431.5	394.1	204.4	155.2	116.6	90.89	87.09	362.2	 4566	9999.9	9999.9	549.4	21.57	14.99	8.458	7.331	4.218	4.254	2.988	2.737	2.811	3.254	2.666	2.762
385.0	133.8	111.1	263.2	175.0	281.3	329.2	382.8	445.2	452.5	501.1	437.9	472.3	478.6	455.6	469.8	471.5	484.2	479.0	464.1	438.0	397.5	359.6	379.2	378.8	366.1	346.2	314.3	318.2	438.8	340.9	180.7	145.3	115.9	88.43	87.15	335.5	 3736	9999.9	9999.9	565.1	18.78	12.06	8.694	5.834	4.704	3.577	3.486	2.323	3.136	2.475	2.018
390.0	104.6	176.3	189.8	246.1	262.5	380.2	400.7	457.2	415.6	493.8	477.9	502.3	497.2	475.3	504.9	488.2	513.8	481.6	448.8	408.0	414.2	390.2	397.5	388.6	390.5	363.2	339.2	332.0	342.5	442.3	301.2	176.5	141.4	112.2	88.53	83.33	284.2	 4071	9999.9	9999.9	464.6	18.89	12.60	6.633	8.795	4.517	3.767	2.836	3.247	2.660	2.347
395.0	143.6	227.7	181.0	219.6	275.6	324.3	411.2	445.2	495.2	506.9	475.1	493.8	519.8	507.4	506.9	500.8	492.4	475.0	442.5	438.7	426.1	428.5	398.8	407.4	396.5	387.8	362.1	360.8	339.5	370.9	445.1	270.7	182.6	140.9	114.8	88.18	79.30	304.7	 3931	9999.9	9999.9	463.3	14.72	11.81	11.19	5.904	5.022	4.202	3.262	2.619	2.595
400.0	124.7	168.5	156.1	149.1	253.9	342.9	405.4	455.1	514.6	480.9	520.2	537.0	478.2	495.8	482.6	540.9	507.1	495.4	478.1	459.6	460.0	401.8	430.9	430.8	412.5	406.8	393.4	379.6	351.9	327.4	406.3	406.6	244.3	177.7	145.5	108.7	82.63	77.56	292.4	 3868	9999.9	9999.9	400.4	14.90	15.24	8.737	5.315	4.820	3.781	3.444	3.480
405.0	139.4	235.2	198.9	255.1	246.3	384.2	412.3	504.9	491.1	459.5	500.4	478.5	516.0	519.9	502.0	523.0	536.2	523.2	466.0	457.3	437.1	426.4	431.6	435.2	420.4	415.5	405.9	403.8	375.0	354.3	343.5	431.6	382.3	217.2	180.4	136.9	103.5	78.05	72.17	283.9	 3056	9999.9	9999.9	330.1	22.56	9.032	8.310	6.165	4.617	4.159	4.188
410.0	122.6	124.7	195.8	264.4	255.3	415.1	461.5	484.3	511.1	497.9	529.0	531.8	497.6	522.2	504.7	549.3	533.2	485.3	485.9	458.7	433.6	421.6	441.4	435.5	439.0	432.4	433.9	418.8	413.5	367.2	351.1	354.0	429.5	332.9	210.1	166.8	119.0	92.66	73.76	66.78	226.7	 3109	9999.9	 9066	587.1	15.95	11.44	6.265	6.589	4.038	4.047
415.0	117.1	144.3	253.6	215.4	256.5	352.2	419.5	463.6	525.5	543.9	559.6	556.2	546.2	526.1	546.4	552.0	533.1	505.9	464.4	454.4	432.3	407.6	429.7	422.5	452.0	439.4	423.8	415.3	420.3	399.8	366.2	348.0	377.5	414.4	274.8	190.0	143.1	109.3	82.83	60.85	59.25	226.8	 2918	9999.9	9999.9	305.7	17.00	9.694	6.652	5.773	4.874
420.0	119.5	171.7	176.9	267.6	239.0	401.5	431.6	418.5	455.6	495.4	512.6	515.2	561.3	553.3	504.6	547.6	518.5	506.9	484.6	434.7	434.1	420.2	416.9	423.7	440.0	447.2	428.5	417.8	418.4	409.2	366.1	359.1	332.5	376.0	397.4	243.5	171.5	115.1	100.3	69.79	59.00	53.77	215.0	 2624	9999.9	 8560	286.3	13.79	10.82	6.756	5.786
425.0	74.60	156.4	114.5	179.7	334.6	293.5	462.7	461.3	471.5	540.2	545.4	506.6	539.8	543.1	551.9	542.0	511.0	506.1	448.0	433.7	407.1	390.0	419.9	416.4	436.7	432.5	425.6	417.9	409.9	401.0	380.6	373.5	330.7	320.4	379.1	320.3	195.7	139.6	110.5	86.54	63.44	51.47	44.37	193.6	 2784	9999.9	 9217	238.2	12.14	9.739	6.679
430.0	137.3	133.8	150.8	231.0	292.2	322.5	402.2	523.2	501.8	519.1	531.3	536.8	544.0	506.9	535.2	510.7	510.1	490.1	459.9	426.4	396.5	383.5	422.0	397.9	412.4	411.3	420.1	419.5	420.9	406.9	373.8	364.2	344.7	331.0	310.8	355.8	269.6	168.3	113.9	97.87	73.22	61.29	42.40	44.19	203.7	 3197	9999.9	 7526	230.5	13.88	8.628
435.0	102.1	134.3	115.6	235.5	211.3	317.0	455.9	457.9	469.5	488.1	538.7	502.5	507.0	531.6	529.2	525.6	509.6	474.5	442.0	408.2	390.3	381.3	402.3	394.7	382.3	406.2	396.6	402.0	403.1	383.7	387.2	375.9	357.8	333.6	296.9	297.8	318.7	219.9	138.0	108.9	85.97	69.41	49.73	42.08	50.22	228.1	 2699	9999.9	 8071	237.6	11.83
440.0	96.58	133.3	117.3	196.4	267.5	334.1	390.1	415.5	474.9	520.1	461.5	533.9	528.5	509.2	534.8	549.2	535.9	480.4	427.2	392.5	367.2	374.3	353.9	365.4	378.7	389.1	408.4	396.1	391.3	388.0	371.7	362.6	339.9	333.8	302.1	266.6	279.1	274.1	172.1	122.8	96.25	78.63	62.66	50.86	42.98	48.83	194.7	 2374	9999.9	 8087	186.7
445.0	98.78	81.78	123.3	181.4	308.6	372.3	332.1	424.7	431.1	485.5	505.5	484.1	510.7	560.5	531.0	483.6	498.3	460.3	424.0	410.8	375.3	356.5	359.9	355.4	368.2	365.6	372.7	380.7	378.9	376.3	363.6	363.8	335.8	333.7	308.4	267.3	246.2	273.4	228.5	147.9	105.8	88.38	72.94	61.09	48.63	43.58	46.17	175.6	 2631	9999.9	 6277
450.0	155.6	119.3	163.7	177.1	203.5	272.3	380.3	417.8	466.0	435.4	474.3	467.3	511.6	529.0	510.5	485.9	470.7	448.3	385.8	353.3	370.8	336.7	344.0	349.8	342.6	343.2	346.8	355.9	354.1	360.5	347.5	339.6	335.5	321.2	301.0	269.7	230.8	224.3	235.5	187.1	125.4	98.18	84.17	75.60	56.06	48.49	37.19	42.12	190.5	 2791	9999.9
455.0	85.25	109.1	128.1	141.8	225.4	299.5	324.5	401.6	428.9	455.1	453.4	466.9	470.5	515.7	501.2	485.8	437.2	416.7	394.8	349.4	326.1	326.7	306.8	303.9	320.5	329.0	321.6	331.5	323.6	330.5	318.4	318.4	320.7	310.3	287.7	261.5	226.8	194.3	203.7	221.6	161.4	109.5	85.66	80.41	67.95	55.13	45.58	36.38	40.35	197.3	 2490
460.0	50.50	155.3	174.7	160.1	223.9	201.7	332.0	377.6	373.9	348.1	428.2	442.2	497.6	442.8	470.0	498.4	430.5	376.2	385.5	330.6	316.4	283.8	289.2	292.9	306.9	310.0	309.6	307.1	303.4	317.2	313.4	303.8	299.1	284.9	270.3	248.5	222.1	198.5	187.7	193.6	191.3	134.1	99.32	87.58	79.22	63.10	57.61	44.62	35.32	39.42	178.9
465.0	77.87	122.5	130.7	113.6	167.8	247.5	289.4	359.2	364.3	392.3	407.1	409.1	422.1	457.2	468.3	441.3	404.4	364.3	339.6	303.5	288.4	288.6	278.8	275.6	286.0	282.6	279.8	276.3	300.8	282.0	283.7	295.2	276.1	283.8	261.5	237.4	214.8	187.3	169.2	156.1	169.6	164.0	122.4	84.08	81.19	73.34	58.82	48.14	40.55	30.75	36.37
470.0	85.38	141.8	138.1	130.8	193.3	238.7	270.0	321.5	344.0	367.9	382.5	367.4	398.5	421.2	410.9	430.4	368.3	342.1	317.7	280.8	269.4	251.7	256.9	245.0	236.3	255.7	258.8	258.6	264.6	264.9	265.5	264.8	257.4	249.7	253.7	239.3	210.7	174.1	163.4	151.0	147.6	170.2	136.3	102.3	80.07	77.85	65.88	52.71	43.62	33.10	29.21
475.0	112.4	104.1	126.6	110.9	170.7	216.5	223.2	259.8	309.9	333.7	357.2	345.9	380.6	400.0	388.4	395.4	352.5	354.6	309.8	272.1	252.6	228.3	235.0	221.6	234.1	220.0	242.2	223.3	241.7	242.9	230.5	234.9	243.4	239.0	238.5	216.6	199.4	170.1	159.0	149.8	131.5	134.9	155.6	114.3	86.71	75.94	65.89	59.46	45.45	32.45	27.90
480.0	68.39	94.34	81.53	124.5	170.5	197.9	261.9	269.7	240.9	326.2	320.1	339.9	367.8	368.0	368.8	376.9	346.9	312.2	275.8	245.8	228.7	217.9	218.4	208.6	211.1	210.8	216.4	203.8	226.8	218.6	226.7	216.9	212.9	204.6	204.2	198.1	186.2	174.9	156.5	139.0	125.5	121.7	124.2	127.4	104.8	79.84	66.08	55.91	46.98	40.87	31.99
485.0	77.33	105.3	94.69	142.3	116.3	164.8	194.6	246.8	260.7	299.9	295.2	346.4	334.7	378.6	370.5	341.5	328.9	303.5	263.1	245.6	217.0	207.4	201.0	197.6	190.1	189.6	195.4	199.2	192.7	197.5	205.7	197.3	216.9	202.4	191.0	188.0	181.0	156.8	139.6	134.4	118.4	108.2	109.9	123.2	121.3	83.57	67.55	52.95	51.78	42.75	36.11
490.0	51.93	80.65	89.05	59.79	84.75	172.7	251.3	230.4	236.4	277.4	296.7	278.5	313.1	311.7	334.9	348.5	321.7	297.4	254.5	227.7	199.8	192.6	184.4	181.6	177.0	179.6	177.3	180.1	185.3	175.3	180.9	184.6	201.7	197.7	172.1	170.3	164.5	148.4	134.7	123.4	114.7	105.9	101.0	110.6	119.2	95.75	74.26	59.54	50.68	45.64	36.96
495.0	73.43	59.62	36.61	104.3	119.3	134.9	163.7	185.2	219.7	289.9	260.1	258.4	327.0	306.5	325.3	317.5	283.2	256.3	231.1	218.1	192.9	191.9	183.0	168.0	169.9	162.4	151.8	167.5	158.7	166.2	162.7	170.8	167.0	180.9	171.6	159.3	145.1	148.2	129.8	116.1	110.4	101.0	99.71	93.41	98.26	102.1	79.74	62.20	53.90	44.68	36.07
