Sample:	'SLABO1-5-5-320
File name:	2P9.FD3
Run Date:	16:41:55, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/310.0	428.9
2	205.0/525.0	406.9
3	210.0/315.0	504.7
4	210.0/350.0	607.0
5	210.0/365.0	718.9
6	215.0/330.0	598.9
7	220.0/300.0	391.0
8	220.0/535.0	540.6
9	230.0/305.0	400.6
10	270.0/300.0	437.9
11	275.0/305.0	626.5
12	275.0/425.0	 4267
13	280.0/310.0	808.9
14	285.0/315.0	850.3
15	290.0/320.0	835.9
16	295.0/330.0	860.2
17	320.0/420.0	 4049
18	325.0/415.0	 4031
19	330.0/425.0	 4096
20	375.0/295.0	12.23
21	380.0/300.0	12.11
22	400.0/305.0	9.134
23	410.0/315.0	9.528
24	410.0/330.0	12.18
25	430.0/325.0	7.798
26	435.0/330.0	8.349
27	445.0/300.0	5.218
28	445.0/365.0	10.79

Data Points
375.0	649.6	625.8	649.8	918.8	 1102	 1260	 1570	 1566	 1562	 1621	 1743	 1775	 1873	 1940	 2122	 2197	 2292	 2247	 2173	 2140	 2130	 2196	 2180	 2223	 2180	 2085	 2039	 1955	 1565	 1269	 1010	745.9	625.8	 1077	9999.9	9999.9	9999.9	 2959	154.3	99.15	66.12	48.63	38.65	24.07	17.20	16.10	15.03	11.35	11.70	11.78	10.00
380.0	426.6	604.8	839.6	905.4	 1349	 1447	 1511	 1747	 1821	 1860	 1999	 2035	 2209	 2320	 2344	 2377	 2531	 2454	 2366	 2421	 2370	 2460	 2489	 2483	 2466	 2405	 2240	 2218	 1965	 1610	 1306	 1018	770.6	611.8	 1071	9999.9	9999.9	9999.9	 2727	137.4	93.37	65.08	46.15	36.15	22.46	17.48	17.77	14.22	12.21	12.17	12.03
385.0	624.4	598.8	942.2	 1031	 1481	 1603	 1821	 1901	 2066	 2225	 2348	 2324	 2483	 2543	 2623	 2750	 2747	 2748	 2582	 2637	 2637	 2713	 2752	 2782	 2780	 2710	 2558	 2367	 2313	 2012	 1626	 1302	 1041	775.6	636.9	 1074	9999.9	9999.9	9999.9	 2803	137.2	86.27	65.15	44.64	29.42	21.95	22.80	14.79	13.30	12.46	10.94
390.0	559.9	776.4	887.1	 1323	 1369	 1561	 2000	 2162	 2254	 2517	 2404	 2629	 2678	 2824	 2828	 2923	 2977	 2928	 2865	 2883	 2860	 2975	 3004	 3056	 3097	 3009	 2866	 2699	 2554	 2417	 2004	 1661	 1327	 1046	795.1	616.2	 1055	9999.9	9999.9	9999.9	 2694	133.3	83.81	60.58	42.93	30.13	26.42	18.36	15.27	13.37	13.99
395.0	571.8	956.8	 1068	 1223	 1721	 1826	 2215	 2243	 2530	 2674	 2767	 2856	 2933	 2948	 3086	 3207	 3300	 3116	 3074	 3033	 3067	 3183	 3341	 3350	 3320	 3280	 3152	 3018	 2790	 2601	 2454	 1978	 1660	 1354	 1056	790.9	612.0	 1022	9999.9	9999.9	9999.9	 2723	126.1	82.32	55.92	40.10	30.84	23.94	18.82	17.33	15.12
400.0	591.7	975.1	958.8	 1267	 1711	 2101	 2408	 2595	 2727	 3019	 3009	 3022	 3165	 3306	 3304	 3447	 3440	 3272	 3207	 3236	 3287	 3408	 3530	 3560	 3546	 3535	 3384	 3297	 3090	 2841	 2665	 2424	 2003	 1651	 1328	 1010	754.0	581.4	 1018	9999.9	9999.9	9999.9	 2395	114.1	76.12	52.65	40.20	26.64	23.48	18.59	17.84
405.0	673.5	986.3	 1216	 1370	 1788	 2296	 2484	 2631	 2974	 3025	 3148	 3229	 3344	 3485	 3598	 3650	 3630	 3402	 3341	 3404	 3416	 3497	 3658	 3796	 3769	 3716	 3646	 3526	 3369	 3136	 2849	 2648	 2403	 1963	 1611	 1255	936.5	705.1	533.2	978.2	9999.9	9999.9	9999.9	 2156	107.5	70.53	54.91	37.60	27.12	23.57	19.31
410.0	850.7	851.1	 1224	 1478	 1846	 2311	 2534	 2839	 3058	 3220	 3373	 3415	 3496	 3700	 3770	 3778	 3777	 3677	 3534	 3472	 3431	 3674	 3718	 3821	 3924	 3906	 3880	 3764	 3577	 3377	 3057	 2895	 2710	 2311	 1941	 1550	 1191	892.6	643.3	490.2	943.5	9999.9	9999.9	9999.9	 2012	107.1	73.17	48.19	36.72	31.18	22.78
415.0	697.6	969.2	 1447	 1577	 1918	 2230	 2594	 2990	 3073	 3384	 3433	 3577	 3781	 3853	 3923	 3960	 3807	 3682	 3604	 3567	 3527	 3671	 3780	 3913	 3945	 4031	 3969	 3860	 3762	 3595	 3317	 3098	 2861	 2642	 2221	 1776	 1390	 1098	809.6	583.6	455.0	926.2	9999.9	9999.9	9999.9	 2063	103.6	66.48	45.82	37.42	29.54
420.0	729.4	822.0	960.1	 1618	 1991	 2495	 2710	 2826	 3078	 3341	 3524	 3799	 3791	 3884	 4049	 4044	 4074	 3758	 3657	 3544	 3608	 3714	 3788	 3931	 4049	 3995	 3979	 3947	 3820	 3689	 3462	 3285	 3024	 2841	 2519	 2061	 1635	 1275	957.7	706.2	519.2	422.2	896.1	9999.9	9999.9	9999.9	 1863	101.0	60.96	45.58	33.95
