480.0	442.2	520.6	729.7	814.1	 1086	 1184	 1328	 1496	 1541	 1668	 2024	 2117	 2252	 2376	 2415	 2606	 2441	 2276	 2079	 1902	 1847	 1780	 1755	 1844	 1851	 1866	 1874	 1932	 1895	 1941	 1927	 1937	 1908	 1889	 1851	 1709	 1554	 1405	 1275	 1130	994.7	898.5	825.9	734.1	621.1	542.2	461.2	406.1	331.1	288.6	223.1
485.0	493.6	547.4	582.1	737.4	987.6	 1156	 1366	 1392	 1473	 1546	 1800	 1877	 2114	 2145	 2364	 2336	 2367	 2179	 2013	 1829	 1730	 1679	 1659	 1642	 1678	 1718	 1761	 1765	 1770	 1820	 1809	 1794	 1807	 1815	 1721	 1614	 1492	 1340	 1191	 1088	963.5	881.3	779.0	705.1	638.6	543.7	466.5	413.7	356.9	306.7	250.4
490.0	403.6	548.6	579.0	646.7	785.6	 1110	 1097	 1379	 1425	 1540	 1713	 1821	 1928	 2167	 2228	 2153	 2156	 2068	 1867	 1742	 1638	 1571	 1562	 1548	 1568	 1612	 1638	 1695	 1654	 1684	 1688	 1634	 1655	 1663	 1589	 1498	 1383	 1274	 1141	 1029	955.1	844.9	764.5	680.2	649.4	558.2	479.4	435.8	368.6	315.3	265.4
495.0	323.1	464.7	452.9	681.8	908.4	982.0	 1085	 1164	 1346	 1374	 1640	 1762	 1886	 1943	 2141	 2075	 2046	 1937	 1778	 1623	 1556	 1498	 1489	 1456	 1468	 1443	 1494	 1505	 1521	 1540	 1530	 1515	 1514	 1556	 1521	 1405	 1328	 1223	 1091	998.0	891.5	805.7	754.5	665.8	624.7	570.3	496.2	446.0	379.2	324.4	282.5
500.0	243.9	452.4	503.2	587.5	691.8	947.3	 1042	 1155	 1224	 1328	 1406	 1540	 1707	 1818	 1906	 1950	 1863	 1819	 1581	 1496	 1401	 1375	 1355	 1340	 1351	 1350	 1371	 1393	 1394	 1410	 1422	 1381	 1393	 1399	 1383	 1340	 1216	 1129	 1021	927.4	844.7	777.2	705.2	643.6	586.6	539.4	518.7	430.4	379.2	337.6	289.5
505.0	388.6	330.9	447.1	567.2	658.4	877.7	984.9	 1015	 1132	 1152	 1301	 1416	 1546	 1697	 1794	 1773	 1805	 1660	 1523	 1399	 1298	 1253	 1231	 1228	 1227	 1225	 1233	 1237	 1261	 1287	 1275	 1244	 1287	 1287	 1258	 1230	 1129	 1042	948.8	879.5	816.6	739.8	668.9	611.5	569.7	521.3	481.8	440.9	389.0	325.0	287.7
510.0	316.6	369.0	363.0	502.4	706.6	773.3	923.6	948.7	 1070	 1121	 1130	 1290	 1423	 1545	 1656	 1670	 1629	 1504	 1392	 1293	 1226	 1116	 1100	 1134	 1126	 1111	 1128	 1128	 1119	 1121	 1160	 1154	 1155	 1166	 1170	 1096	 1011	974.0	882.7	804.8	741.7	678.5	640.0	580.4	534.4	481.7	458.7	427.1	382.8	336.7	289.5
515.0	251.6	324.0	370.1	493.4	653.8	702.4	712.1	920.9	897.6	 1062	 1075	 1128	 1289	 1395	 1437	 1477	 1519	 1336	 1262	 1187	 1114	 1034	 1019	 1024	 1014	988.5	 1018	 1024	 1031	 1031	 1053	 1048	 1054	 1063	 1060	986.4	929.9	860.6	793.0	744.9	698.3	646.0	586.2	554.8	504.6	453.2	426.1	398.2	380.4	335.9	288.7
520.0	159.0	326.3	308.7	420.9	500.9	556.5	722.5	824.7	907.6	919.3	990.0	 1005	 1163	 1250	 1338	 1342	 1359	 1237	 1175	 1087	980.6	958.1	903.6	910.3	917.3	879.6	922.9	905.5	945.4	932.7	916.8	946.8	947.9	950.3	941.0	899.5	861.7	792.0	734.1	692.7	631.4	585.8	546.3	511.4	465.5	437.4	396.2	369.7	359.0	329.9	283.8
525.0	174.7	337.0	347.7	458.7	505.3	543.3	655.9	735.4	770.8	845.9	906.6	917.8	 1039	 1171	 1205	 1224	 1227	 1120	 1055	941.5	906.7	873.4	854.8	821.5	828.4	831.9	802.3	820.8	827.3	830.9	845.6	837.8	848.7	859.2	849.8	803.8	782.6	727.0	661.1	613.5	574.4	527.2	516.3	468.8	436.0	395.7	374.9	346.5	329.7	311.5	276.4
530.0	271.6	241.4	223.4	320.9	356.7	533.0	597.4	611.7	694.8	741.6	870.2	880.7	932.9	 1023	 1113	 1092	 1169	 1041	934.3	873.4	789.3	779.5	747.8	738.6	728.7	734.6	720.2	754.1	732.5	730.2	740.3	761.2	766.7	744.8	750.7	729.7	689.4	645.5	602.2	559.5	533.1	500.6	457.5	433.6	391.6	367.3	338.4	316.3	295.8	284.9	277.6
535.0	241.8	187.9	257.3	296.2	326.0	481.7	507.7	609.9	594.4	708.1	734.3	786.3	822.7	856.7	 1032	 1010	 1000	938.2	844.2	767.1	749.3	686.1	669.4	639.8	672.9	650.5	647.0	651.2	646.1	660.5	655.7	669.0	680.8	672.8	685.8	647.3	619.2	595.7	542.5	496.0	479.1	450.5	413.7	387.3	362.4	339.4	322.6	300.3	275.4	255.3	244.9
540.0	205.0	190.1	176.3	250.7	354.6	345.6	504.4	540.3	547.3	613.9	643.7	638.8	700.7	774.4	967.9	894.9	874.9	820.7	760.5	715.3	672.0	615.7	618.7	585.1	580.9	577.1	578.8	599.3	566.2	578.1	591.1	600.3	610.1	604.9	605.3	582.4	559.1	516.6	472.2	457.6	431.8	399.8	374.6	349.9	336.5	312.5	291.7	278.5	250.5	235.1	220.3
545.0	114.0	166.5	219.7	217.6	270.7	368.5	467.9	474.9	466.0	538.5	577.7	617.2	709.8	725.5	876.5	973.2	824.0	755.7	685.1	624.6	594.5	558.4	547.4	527.2	520.8	506.4	521.9	522.5	507.9	500.7	528.2	536.4	523.0	535.4	535.2	532.1	478.0	457.1	429.5	397.0	371.2	362.3	344.8	321.6	298.8	271.4	268.2	242.0	230.6	218.7	198.4
550.0	113.7	157.5	207.0	151.1	322.3	278.3	398.9	412.1	422.4	556.0	507.4	572.0	621.6	628.4	706.0	 1137	825.8	647.1	612.1	594.2	550.0	524.2	493.1	475.1	468.6	481.3	475.1	459.9	461.4	473.8	469.5	487.7	496.0	502.3	476.2	469.6	444.4	408.4	388.6	366.1	342.4	324.0	303.9	288.1	270.2	261.4	245.3	231.3	216.8	198.2	183.9
